unidade_federativa,populacao_2025,populacao_2024,variacao_absoluta,variacao_percentual,percentual_total_2025
São Paulo,46081801,45973194,108607,0.24,21.59
Minas Gerais,21393441,21322691,70750,0.33,10.02
Rio de Janeiro,17223547,17219679,3868,0.02,8.07
Bahia,14870907,14850513,20394,0.14,6.97
Paraná,11890517,11824665,65852,0.56,5.57
Rio Grande do Sul,11233263,11229915,3348,0.03,5.26
Pernambuco,9562007,9539029,22978,0.24,4.48
Ceará,9268836,9233656,35180,0.38,4.34
Pará,8711196,8664306,46890,0.54,4.08
Santa Catarina,8187029,8058441,128588,1.6,3.84
Goiás,7423629,7350483,73146,1.0,3.48
Maranhão,7018211,7010960,7251,0.1,3.29
Amazonas,4321616,4281209,40407,0.94,2.02
Paraíba,4164468,4145040,19428,0.47,1.95
Espírito Santo,4126854,4102129,24725,0.6,1.93
Mato Grosso,3893659,3836399,57260,1.49,1.82
Rio Grande do Norte,3455236,3446071,9165,0.27,1.62
Piauí,3384547,3375646,8901,0.26,1.59
Alagoas,3220848,3220104,744,0.02,1.51
Distrito Federal,2996899,2982818,14081,0.47,1.4
Mato Grosso do Sul,2924631,2901895,22736,0.78,1.37
Sergipe,2299425,2291077,8348,0.36,1.08
Rondônia,1751950,1746227,5723,0.33,0.82
Tocantins,1586859,1577342,9517,0.6,0.74
Acre,884372,880631,3741,0.42,0.41
Amapá,806517,802837,3680,0.46,0.38
Roraima,738772,716793,21979,3.07,0.35
Total,213421037,203080756,12324957,6.46,100.0
